"Name","Address","Day","Care type","Philosophy","Phone","Website"
"SSOCC Heron – Toddlers and Junior Kindergarten","12091 Cambie Road, Richmond, BC","Both days","Infant/toddler · 3–school age","Reggio-inspired","604-377-8385","https://www.ssocc.ca"
"Crystal Star Daycare","10631 Gilmore Crescent, Richmond, BC","Thu Oct 1 (eve)","Infant/toddler (licensed home, 4 children)","Play-based","604-276-9816",""
"Kiddo House Montessori","6640 Blundell Road, Richmond, BC","Sat Oct 3 (AM)","3 – school age","Montessori","778-886-0626","https://kiddohousechildcare.ca"
"Camps and Afterschool","Unit 201, 6640 Blundell Rd, Richmond, BC V7C 1H8","Both days","School age","Academic / traditional","778-951-3438","https://www.hellokidslearn.com"
"Thompson Early Learning – Rompers Preschool","Thompson Community Centre, 5151 Granville Ave, Richmond, BC V7C 1E6","Both days","Preschool","Blended (play-based, Reggio-inspired)","604-238-8497","https://www.thompsonearlylearning.com"
"Little Koala Montessori Academy (Clarke Place)","110-12855 Clarke Place, Richmond, BC","Both days","Infant/toddler · 3–school age","Montessori (AMI/AMS)","778-999-9229","https://www.littlekoalamontessori.com"
"Little Koala Montessori Academy (Blundell Road)","10011 Blundell Road, Richmond, BC","Both days","3 – school age","Montessori (AMS)","778-999-9229","https://www.littlekoalamontessori.com"
"Blue Whale Children's Learning Centre","8060 No. 1 Road, Richmond, BC","Sat Oct 3 (AM)","3 – school age","Blended (Montessori, purposeful play)","604-754-7666","https://www.bluewhaleedu.com"
"Cedar Studio Outdoor Learning","Units 135 & 140, 6231 London Road, Richmond, BC","Both days","9 months – 5 years","Blended (Reggio-inspired, outdoor / land-based)","604-783-1014","https://www.cedarstudio.co"
"Kid Nest Infant and Toddler Daycare","8531 Leslie Road, Richmond, BC V6X 1E6","Sat Oct 3 (AM)","Infant/toddler","Blended (Montessori, play-based)","778-995-0583","https://www.kidnestdaycare.com"
"Little Earthlings Childcare","3871 Moncton St, Richmond, BC V7E 3A7","Both days","3 – school age","Blended (Reggio-inspired, play-based)","604-370-6228","https://www.littleearthlings.ca"
"Connections Kids Club","5999 Blanshard Drive, Richmond, BC V7C 5V4","Both days","3 – school age · school age","Reggio-inspired","778-798-8861","https://www.ccssociety.ca"
"Terra Nova Nature School","2680 River Road, Richmond, BC","Both days","Preschool","Blended (nature-based, emergent)","604-238-8437","https://www.terranovanatureschool.com"
"Willow Children's Centre","650-5688 Hollybridge Way, Richmond, BC","Sat Oct 3 (AM)","Infant/toddler · 3–school age","Reggio-inspired","604-307-3490","https://www.richmondchildcare.org"
"Rothewood Academy – Richmond City Centre","7931 Alderbridge Way, Richmond, BC","Sat Oct 3 (AM)","Infant/toddler · 3–school age","Blended (Reggio, play-based, Montessori)","604-279-1818","https://www.rothewood.com"
"Lesco Montessori Daycare","12720 Cameron Drive, Richmond, BC","Both days","3 – school age","Montessori","778-926-0640","https://lescomontessori.ca"
"Dino-Mites Preschool","4071 Francis Road, Richmond, BC V7C 1J8","Sat Oct 3 (AM)","Preschool","Play-based","604-272-2423","https://www.dinomitespreschool.com"
"Royal Blue Heron Montessori Academy","10111 4th Avenue, Richmond, BC V7E 1V5","Thu Oct 1 (eve)","3 – school age","Montessori","778-866-3572","https://royalblueheronmontessoriacademy.ca"
"Renaissance Kids","#1-12491 No. 2 Road, Richmond, BC","Both days","Infant/toddler · 3–school age · school age","Blended (Reggio, Montessori, academic)","604-723-3117","https://www.renaissancekids.ca"
